id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note
4536725,ParcelBox,True,2025-05-03T19:54:24.34,PBOX BHD Lidická (Guman),Free,50.154240305,14.195913305,PBOX,BHD,Lidická,Guman
4536732,ParcelBox,True,2025-05-03T11:54:31.03,PBOX OST Čapkova (Restaura),Free,49.817213611,18.340618111,PBOX,OST,Čapkova,Restaura
4536739,ParcelBox,True,2025-05-04T09:34:26.45,PBOX PUK Dol. Marklovice (Marten),Free,49.880400611,18.547523111,PBOX,PUK,Dol. Marklovice,Marten
4537041,ParcelBox,True,2025-05-04T14:34:32,PBOX LME Českolipská (AGServic),Free,50.537106111,14.152040611,PBOX,LME,Českolipská,AGServic
4537586,ParcelBox,True,2025-05-04T15:14:27.097,PBOX SNV Stonařov (Lapek),Free,49.281484194,15.585695805,PBOX,SNV,Stonařov,Lapek
4538019,ParcelBox,True,2025-05-03T13:54:29.917,PBOX CBE Pražská (Ellex),Free,48.997918111,14.480418305,PBOX,CBE,Pražská,Ellex
4538020,ParcelBox,True,2025-05-04T15:34:30.653,PBOX HKR Kutnohorská (Retail),Free,50.199003111,15.781520805,PBOX,HKR,Kutnohorská,Retail
4538021,ParcelBox,True,2025-05-04T14:34:32.207,PBOX MST Velebudická (Retail),Free,50.485949694,13.655509194,PBOX,MST,Velebudická,Retail
4538022,ParcelBox,True,2025-05-03T20:14:28.673,PBOX VNL J. V. Sládka (Lékárna),Free,49.195239388,14.7147975,PBOX,VNL,J. V. Sládka,Lékárna
4538024,ParcelBox,True,2025-05-04T14:14:25.217,PBOX PRG Milevská (Autopark),Free,50.048586111,14.430924194,PBOX,PRG,Milevská,Autopark
