id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4493160,AlzaBox,False,2025-04-28T21:21:04.123,ABOX CLP 28. října (LEVNO),Unknown,50.69159,14.547698
4493161,AlzaBox,False,2025-04-28T21:21:04.16,ABOX SEO Slánská (Tabák),Unknown,50.188805,14.043409
4493163,AlzaBox,False,2025-04-28T21:21:04.263,ABOX PRG Malkovského,Unknown,50.14191,14.510346
4493164,AlzaBox,False,2025-04-28T21:21:04.317,ABOX PRG Vašátkova (Potravin),Unknown,50.102024,14.566901
4493165,AlzaBox,False,2025-04-28T21:21:04.347,ABOX KMP Kamenný Přívoz (úřad),Unknown,49.860825,14.503413
4493167,AlzaBox,False,2025-04-28T21:21:04.41,ABOX BRN Košuličova,Unknown,49.165257,16.612528
4493169,AlzaBox,False,2025-04-28T21:21:04.483,ABOX BRN Kabátníkova (OC Sfinx),Unknown,49.2108,16.600466
4493171,AlzaBox,False,2025-04-28T21:21:04.59,ABOX PRG Ke Kateřinkám (IceAréna),Unknown,50.022446,14.518008
4493172,AlzaBox,False,2025-04-28T21:21:04.85,ABOX PRG Ostrovského (Akcent),Unknown,50.06874,14.402121
4493173,AlzaBox,False,2025-04-28T21:21:05.087,ABOX PRG Pod Lysinami,Unknown,50.02196,14.413921
4493176,AlzaBox,False,2025-04-28T21:21:05.23,ABOX JNO Hradisková,Unknown,50.029144,16.603928
4493177,AlzaBox,False,2025-04-28T21:21:05.24,ABOX LHE Lochovice (Coop),Unknown,49.849995,13.976804
4493178,AlzaBox,False,2025-04-28T21:21:05.293,ABOX PRG Kurčatovova,Unknown,50.03277,14.563867
4493179,AlzaBox,False,2025-04-28T21:21:05.33,ABOX PRG Sokolovská (Futurama),Unknown,50.096706,14.462987
4493184,AlzaBox,False,2025-04-28T21:21:05.497,ABOX BRN Špitálka,Unknown,49.19564,16.623762
4493185,AlzaBox,False,2025-04-28T21:21:05.53,ABOX PRG Sazečská (Valeo),Unknown,50.07604,14.519142
4493188,AlzaBox,False,2025-04-28T21:21:05.633,ABOX PBY Hlavní (Úřad),Unknown,50.214035,14.441035
4493191,AlzaBox,False,2025-04-28T21:21:05.747,ABOX TRV Průmyslová (Retail),Unknown,50.595505,15.132452
4493194,AlzaBox,False,2025-04-28T21:21:05.833,ABOX CME Čimelice (Coop),Unknown,49.465134,14.069112
4493197,AlzaBox,False,2025-04-28T21:21:05.96,ABOX SBA Říčanská (Ledocom),Unknown,50.056046,14.669715
4493198,AlzaBox,False,2025-04-28T21:21:06.003,ABOX SKA Předměstská (pošta),Unknown,50.46824,15.178926
4493199,AlzaBox,False,2025-04-28T21:21:06.037,ABOX PRG Pod Marjánkou,Unknown,50.0844,14.371312
4493201,AlzaBox,False,2025-04-28T21:21:06.117,ABOX VOY Průběžná,Unknown,50.2019,14.406257
4493202,AlzaBox,False,2025-04-28T21:21:06.147,ABOX VUK Hlavní,Unknown,50.171604,14.089236
4493203,AlzaBox,False,2025-04-28T21:21:06.153,ABOX PRG Na Hlavní,Unknown,50.165073,14.484582
4493204,AlzaBox,False,2025-04-28T21:21:06.217,ABOX PRG Šrobárova,Unknown,50.076206,14.475637
4493206,AlzaBox,False,2025-04-28T21:21:06.29,ABOX TSV Čemínská (Autobus),Unknown,49.776196,13.25148
4493208,AlzaBox,False,2025-04-28T21:21:06.407,ABOX SEN nám.Š.Lomnickéh (Úřad),Unknown,49.09945,14.57202
4493209,AlzaBox,False,2025-04-28T21:21:06.437,ABOX KVA Bezručova (Nemocnic),Unknown,50.232586,12.876426
4493210,AlzaBox,False,2025-04-28T21:21:06.447,ABOX KMY Průmyslová (Parkoviš),Unknown,50.4287,14.935555
4505574,AlzaBox,False,2025-04-28T21:21:06.577,ABOX PRG Na Větrníku,Unknown,50.08888,14.352032
4505577,AlzaBox,False,2025-04-28T21:21:06.683,ABOX PRG Ohnivcova,Unknown,50.025833,14.426241
4505579,AlzaBox,False,2025-04-28T21:21:06.757,ABOX DBV Náměstí T. G. Masaryka (Coop),Unknown,50.439045,15.126818
4505581,AlzaBox,False,2025-04-28T21:21:06.83,ABOX STK Bezděkovská (OC Maxim),Unknown,49.257565,13.905191
4505582,AlzaBox,False,2025-04-28T21:21:06.873,ABOX DBO nám. Jiráskovo (Trefa),Unknown,49.17025,14.581011
4505583,AlzaBox,False,2025-04-28T21:21:06.907,ABOX DEC Řetězová (Parkoviš),Unknown,50.780758,14.212137
4505585,AlzaBox,False,2025-04-28T21:21:06.95,ABOX STC Kralupská (Ložiska),Unknown,50.148743,14.32789
