id2,id,accessPointType,name,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,ID,ulice,cislo,psc,mesto
1571,4567342,ParcelBox,PBOX BOR Bor32 (Somo),49.748326694,12.774439388,PBOX,BOR,Bor32,Somo,"""49.748326694,12.774439388"",","Nová Hospoda 32/32, 348 02 Bor-Bor u Tachova, Czechia",64,Nová Hospoda,32/32,34802,Bor-Bor u Tachova
2835,4445470,ParcelBox,PBOX BOR Nám.republiky (Potravin),49.712540305,12.773684694,PBOX,BOR,Nám.republiky,Potravin,"""49.712540305,12.773684694"",","nám. Republiky 626, 348 02 Bor-Bor u Tachova, Czechia",65,nám. Republiky,626,34802,Bor-Bor u Tachova
680,4264210,ParcelBox,PBOX BOS Hybešova (Potravin),49.487341888,16.674269388,PBOX,BOS,Hybešova,Potravin,"""49.487341888,16.674269388"",","Hybešova 46/73, 680 01 Boskovice, Czechia",66,Hybešova,46/73,68001,Boskovice
1224,4424404,ParcelBox,PBOX BOS Chrudichromská (TESCO),49.492048111,16.648805805,PBOX,BOS,Chrudichromská,TESCO,"""49.492048111,16.648805805"",","Chrudichromská 2454/3, 680 01 Boskovice, Czechia",67,Chrudichromská,2454/3,68001,Boskovice
390,4542984,ParcelBox,PBOX BOS Na Skalce (Boskovic),49.484130305,16.676831388,PBOX,BOS,Na Skalce,Boskovic,"""49.484130305,16.676831388"",","Na Skalce 1820/10, 680 01 Boskovice, Czechia",68,Na Skalce,1820/10,68001,Boskovice
835,4301177,ParcelBox,PBOX BOS Nám. Dr.Sněti (Narita),49.488643611,16.658912805,PBOX,BOS,Nám. Dr.Sněti,Narita,"""49.488643611,16.658912805"",","nám. Dr. Snětiny 2275/2, 680 01 Boskovice, Czechia",69,nám. Dr. Snětiny,2275/2,68001,Boskovice
742,4274865,ParcelBox,PBOX BOS Sokolská (OC Kras),49.491703888,16.657480805,PBOX,BOS,Sokolská,OC Kras,"""49.491703888,16.657480805"",","Sokolská 1235/38, 680 01 Boskovice, Czechia",70,Sokolská,1235/38,68001,Boskovice
644,4560208,ParcelBox,PBOX BOT Borotín (COOP),49.504925611,14.612469694,PBOX,BOT,Borotín,COOP,"""49.504925611,14.612469694"",","Borotín 55, 391 35 Borotín, Czechia",71,Borotín,55,39135,Borotín
3619,4718929,ParcelBox,PBOX BOY Žižkovo nám. (FLOP),48.901024694,14.641308611,PBOX,BOY,Žižkovo nám.,FLOP,"""48.901024694,14.641308611"",","Žižkovo nám. 57, 373 12 Borovany, Czechia",72,Žižkovo nám.,57,37312,Borovany
797,4298333,ParcelBox,PBOX BPB Paninodvorská (COOP),50.491317194,14.830191388,PBOX,BPB,Paninodvorská,COOP,"""50.491317194,14.830191388"",","Paninodvorská 1010, 294 21 Bělá pod Bezdězem, Czechia",73,Paninodvorská,1010,29421,Bělá pod Bezdězem
