ulice,cislo,psc,mesto
Písečná,5376,43000,Chomutov-Chomutov 4
Pod Břízami,5251,43004,Chomutov-Chomutov 4
Pod Strážištěm,5723,43004,Chomutov-Chomutov 4
Žižkovo nám.,5762,43001,Chomutov-Chomutov 1
Chotyně,158,46334,Chotyně
Podhomolí,1555,56501,Choceň-Choceň 1
Dašická,1228,53701,Chrudim-Chrudim 1
Dr.Milady Horákové,10,53701,Chrudim-Chrudim 1
Na Ostrově,,53701,Chrudim-Chrudim 1
Na rozhledně,,53701,Chrudim-Chrudim 1
Palackého tř.,764,53701,Chrudim-Chrudim 1
Topolská,1204,53705,Chrudim-Chrudim IV
Bílkova,294/294,39155,Chýnov
Palackého nám.,145/16,68323,Ivanovice na Hané
Na Hrázi,169/25,66491,Ivančice
Oslavanská,1548,66491,Ivančice
Rybářská,33,66491,Ivančice
Dalešická,184,46801,Jablonec nad Nisou-Jablonec nad Nisou 8
Jablonec nad Jizerou,800,51243,Jablonec nad Jizerou
Jablůnka,54,75623,Jablůnka
Na Kopci,3297/8,46601,Jablonec nad Nisou-Jablonec nad Nisou 1
Podhorská,5265,46602,Jablonec nad Nisou-Jablonec nad Nisou 2
Riegrova,4067/38,46601,Jablonec nad Nisou-Jablonec nad Nisou 1
Rooseveltova,2850/1,46601,Jablonec nad Nisou-Jablonec nad Nisou 1
Smetanova,69,46601,Jablonec nad Nisou-Jablonec nad Nisou 1
Zemědělská,47,46605,Jablonec nad Nisou-Jablonec nad Nisou 5
Želivského,5231/2a,46605,Jablonec nad Nisou-Jablonec nad Nisou 5
Alej míru,321,73991,Jablunkov
B. Němcové,50,50601,Jičín-Jičín 1
Hradecká,1141,50601,Jičín-Jičín 1
Jungmannova,34,50601,Jičín-Jičín 1
K. Vika,368,50601,Jičín-Jičín 1
Leoše Janáčka,888,50601,Jičín-Jičín 1
Prachovská,423,50601,Jičín-Jičín 1
Havlíčkovo nám.,,67906,Jedovnice
Jevišovice,332,67153,Jevišovice
Brněnská,4971/74,58601,Jihlava-Jihlava 1
Březinova,4248/62,58601,Jihlava-Jihlava 1
Jiráskova,5201/66,58601,Jihlava-Jihlava 1
Pávovská,4806/14A,58601,Jihlava-Jihlava 1
Rantířovská,4787/1,58601,Jihlava-Jihlava 1
Vrchlického,4843/61,58601,Jihlava-Jihlava 1
Jalubí,548,68705,Jalubí
Modrá,176,40702,Jílové-Modrá u Děčína
Palackého,771,67531,Jemnice
Na Rejsce,345,55101,Jaroměř-Pražské Předměstí
Pionýrská,713,55101,Jaroměř-Jaroměř 1
Svatopluka Čecha,63,55101,Jaroměř-Jaroměř 1
28. října,528,37701,Jindřichův Hradec-Jindřichův Hradec III
9. května,875,37701,Jindřichův Hradec-Jindřichův Hradec II
sídl. Vajgar,595,37701,Jindřichův Hradec-Jindřichův Hradec 1
sídl. U Nádraží,940,37701,Jindřichův Hradec-Jindřichův Hradec 1
Václavská,1756,37701,Jindřichův Hradec-Jindřichův Hradec 1
