id2,id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,latlong
216,4504635,ParcelBox,True,"2025-05-04T14:34:23,940",PBOX BOI Okružní (Středisk),Free,50.404879388,14.129053611,PBOX,BOI,Okružní,Středisk,"""50.404879388,14.129053611"",","Okružní 366, 411 18 Budyně nad Ohří, Czechia","50.404879388,14.129053611"
3621,4719319,ParcelBox,True,"2025-05-04T17:15:45,967",PBOX BON Na Máchovně (Surtep),Free,49.956704388,14.041250805,PBOX,BON,Na Máchovně,Surtep,"""49.956704388,14.041250805"",","Na Máchovně 1610, 266 01 Beroun-Beroun 1, Czechia","49.956704388,14.041250805"
1770,4573409,ParcelBox,True,"2025-05-04T17:15:09,240",PBOX BON OKRUŽNÍ (VEČERKA),Free,49.964533305,14.064238111,PBOX,BON,OKRUŽNÍ,VEČERKA,"""49.964533305,14.064238111"",","Okružní 1481, 266 01 Beroun-Beroun-Město, Czechia","49.964533305,14.064238111"
970,4328858,ParcelBox,True,"2025-05-03T13:12:47,330",PBOX BON Škroupova (Surtep),Free,49.965649388,14.083602194,PBOX,BON,Škroupova,Surtep,"""49.965649388,14.083602194"",","Škroupova 854, Závodí, 266 01 Beroun-Beroun 1, Czechia","49.965649388,14.083602194"
940,4324575,ParcelBox,True,"2025-05-04T13:12:52,163",PBOX BON Švermova,Free,49.95805,14.051508111,PBOX,BON,Švermova,chybi,"""49.95805,14.051508111"",","Švermova 1368/2, 266 01 Beroun-Beroun-Město, Czechia","49.95805,14.051508111"
592,4558647,ParcelBox,True,"2025-05-02T10:36:16,633",PBOX BON U Berounky (BUS),Free,49.974083888,14.075450305,PBOX,BON,U Berounky,BUS,"""49.974083888,14.075450305"",","Lidická 669/53, Závodí, 266 01 Beroun-Beroun 1, Czechia","49.974083888,14.075450305"
1571,4567342,ParcelBox,True,"2025-05-04T15:14:55,637",PBOX BOR Bor32 (Somo),Free,49.748326694,12.774439388,PBOX,BOR,Bor32,Somo,"""49.748326694,12.774439388"",","Nová Hospoda 32/32, 348 02 Bor-Bor u Tachova, Czechia","49.748326694,12.774439388"
2835,4445470,ParcelBox,True,"2025-05-04T16:13:55,477",PBOX BOR Nám.republiky (Potravin),Free,49.712540305,12.773684694,PBOX,BOR,Nám.republiky,Potravin,"""49.712540305,12.773684694"",","nám. Republiky 626, 348 02 Bor-Bor u Tachova, Czechia","49.712540305,12.773684694"
680,4264210,ParcelBox,True,"2025-05-04T14:12:24,600",PBOX BOS Hybešova (Potravin),Free,49.487341888,16.674269388,PBOX,BOS,Hybešova,Potravin,"""49.487341888,16.674269388"",","Hybešova 46/73, 680 01 Boskovice, Czechia","49.487341888,16.674269388"
1224,4424404,ParcelBox,True,"2025-05-04T16:33:20,803",PBOX BOS Chrudichromská (TESCO),Free,49.492048111,16.648805805,PBOX,BOS,Chrudichromská,TESCO,"""49.492048111,16.648805805"",","Chrudichromská 2454/3, 680 01 Boskovice, Czechia","49.492048111,16.648805805"
390,4542984,ParcelBox,True,"2025-05-02T17:34:45,523",PBOX BOS Na Skalce (Boskovic),Free,49.484130305,16.676831388,PBOX,BOS,Na Skalce,Boskovic,"""49.484130305,16.676831388"",","Na Skalce 1820/10, 680 01 Boskovice, Czechia","49.484130305,16.676831388"
835,4301177,ParcelBox,True,"2025-05-04T10:32:49,073",PBOX BOS Nám. Dr.Sněti (Narita),Free,49.488643611,16.658912805,PBOX,BOS,Nám. Dr.Sněti,Narita,"""49.488643611,16.658912805"",","nám. Dr. Snětiny 2275/2, 680 01 Boskovice, Czechia","49.488643611,16.658912805"
742,4274865,ParcelBox,True,"2025-05-03T16:52:30,810",PBOX BOS Sokolská (OC Kras),Free,49.491703888,16.657480805,PBOX,BOS,Sokolská,OC Kras,"""49.491703888,16.657480805"",","Sokolská 1235/38, 680 01 Boskovice, Czechia","49.491703888,16.657480805"
644,4560208,ParcelBox,True,"2025-05-04T15:34:50,527",PBOX BOT Borotín (COOP),Free,49.504925611,14.612469694,PBOX,BOT,Borotín,COOP,"""49.504925611,14.612469694"",","Borotín 55, 391 35 Borotín, Czechia","49.504925611,14.612469694"
3619,4718929,ParcelBox,True,"2025-05-04T13:35:38,043",PBOX BOY Žižkovo nám. (FLOP),Free,48.901024694,14.641308611,PBOX,BOY,Žižkovo nám.,FLOP,"""48.901024694,14.641308611"",","Žižkovo nám. 57, 373 12 Borovany, Czechia","48.901024694,14.641308611"
797,4298333,ParcelBox,True,"2025-05-04T14:12:39,433",PBOX BPB Paninodvorská (COOP),Free,50.491317194,14.830191388,PBOX,BPB,Paninodvorská,COOP,"""50.491317194,14.830191388"",","Paninodvorská 1010, 294 21 Bělá pod Bezdězem, Czechia","50.491317194,14.830191388"
